Mark Name,Long Model Name,Product Family,Revit Filename,Revit Type Name
"APF-500","APF-500","Fan","PlenumFan_v05.rfa","APF-500"
"APF-560","APF-560","Fan","PlenumFan_v05.rfa","APF-560"
"APF-630","APF-630","Fan","PlenumFan_v05.rfa","APF-630"
